"","predictTest"
"2",0.0504439706614924
"4",0.0794330591073164
"7",0.0609693998851919
"12",0.059150647953856
"14",0.0457186498545372
"15",0.0476739842295548
"18",0.0531766864621237
"22",0.0774396097630321
"26",0.0906953485742187
"27",0.0577812448391391
"29",0.090016846726379
"35",0.085303516283908
"38",0.114476696500993
"40",0.099091421436443
"42",0.299267167984066
"43",0.23041122400644
"48",0.33249803044176
"52",0.270971403720205
"54",0.422460840988274
"55",0.388138386444944
"56",0.352335729264827
"61",0.309789843082481
"63",0.469503195022379
"65",0.386521792529113
"69",0.160859567491312
"70",0.0573025634346308
"71",0.0944407838681858
"73",0.0955444317991075
"77",0.0670302984592819
"78",0.0627050982283584
"80",0.0574932688019238
"81",0.0499418154811004
"84",0.063469249764703
"86",0.109143184474213
"87",0.0513715736552412
"90",0.132835298877087
"91",0.286678691618938
"94",0.0396413558865516
"102",0.0639095569797395
"110",0.0381021546353191
"111",0.0582855793174304
"115",0.0413255767766884
"117",0.0981915833612696
"124",0.311135499828113
"125",0.0433864394020092
"126",0.0845725915859697
"128",0.0755371883426712
"132",0.041907897063446
"133",0.0443713186515128
"137",0.395737016765821
"140",0.103118911011648
"145",0.0729497343308943
"148",0.0778513280303542
"149",0.0778513280303542
"150",0.0784407037416877
"151",0.0482069388324541
"152",0.0482069388324541
"153",0.0577206694645461
"154",0.11196094502694
"155",0.0437189979372676
"162",0.0483903845057293
"165",0.296063980425659
"171",0.0496883301099965
"175",0.0587490409384479
"176",0.0587490409384479
"178",0.121719302062828
"183",0.0704466973480389
"185",0.059677317106896
"187",0.0435343519515892
"188",0.265255607284966
"189",0.764193601284579
"190",0.816595608073635
"193",0.731373895578407
"194",0.637746449689021
"198",0.528245130956621
"201",0.618831526886517
"202",0.476806784978673
"204",0.54971485457503
"205",0.597116822973785
"210",0.767252574628239
"213",0.400343739044766
"214",0.549467118436745
"218",0.641244651768912
"219",0.197763506338416
"220",0.403556515612692
"224",0.679904505151324
"226",0.642308004284822
"227",0.552110152619974
"228",0.292506624755592
"229",0.769700777078168
"232",0.505486635551573
"235",0.767050334401601
"238",0.409898242058859
"239",0.333530385757103
"240",0.487755927119386
"242",0.517675177454191
"248",0.694780590526799
"249",0.681154171015007
"250",0.262529764639508
"251",0.187406688795914
"255",0.165023764597288
"258",0.285464570238509
"259",0.270587169677695
"262",0.208277734857443
"263",0.0928163530519099
"269",0.154805430303075
"272",0.108412957792244
"275",0.0509625779654742
"277",0.0792661409792341
"278",0.0607402168137243
"281",0.0622293781111768
"284",0.433839741054357
"285",0.146364612119904
"287",0.275202787947508
"288",0.220950941433604
"289",0.220201802983833
"297",0.0511608430616629
"298",0.0746719410664977
"308",0.114069644508371
"311",0.0570916578257923
"312",0.116043252294176
"313",0.142324837483431
"316",0.0955628277508944
"317",0.092355491131378
"318",0.112811854842914
"319",0.0802605760548347
"320",0.0906188221534683
"321",0.0724942523637101
"323",0.0695328762915001
"331",0.0820482406363566
"334",0.0614173475928776
"336",0.0906786026474424
"339",0.0670358215580549
"344",0.0162290860374979
"351",0.0173859607661051
"353",0.0113178370983762
"354",0.0173876508046669
"355",0.0228526257424832
"358",0.0150825192865913
"361",0.0199779349243597
"364",0.0167923045844591
"366",0.0189215611134562
"369",0.0492177685993996
"370",0.0228103979169437
"374",0.0275465150387483
"377",0.0473055681204914
"378",0.0183021833915626
"379",0.02277958107268
"381",0.0495843708406537
"383",0.0220171319232138
"393",0.0112835876946198
"394",0.0049677786965642
"396",0.00526966107647712
"397",0.0108335218987732
"401",0.0462777898774193
"404",0.0244383909310592
"405",0.0363868689206501
"406",0.00434896932670865
"407",0.0135455575113578
"410",0.0370703518300784
"412",0.0262200933984929
"413",0.0176483200781708
"414",0.00825089939753713
"422",0.0151744186559532
"425",0.00740418550954413
"426",0.0148385453441911
"427",0.0273503466445668
"428",0.00452761740563626
"430",0.018529225769201
"432",0.0230145328907887
"433",0.0146833225865553
"435",0.0034341193252685
"436",0.0348129508953585
"437",0.0498519037749697
"439",0.00346358231442664
"440",0.0191014956787789
"441",0.00909251670505135
"444",0.0283707381578642
"447",0.0247255259254691
"449",0.0164633654730566
"450",0.00373142136467802
"452",0.0195292979684392
"459",0.0184418041223927
"461",0.0276332719267684
"463",0.00254668008877604
"464",0.0148060294386604
"465",0.0226291190565893
"466",0.0282910686294401
"468",0.0410786524794715
"469",0.0158298333427979
"470",0.0130593381314996
"473",0.0360113519512881
"475",0.011140490085782
"476",0.00289327039487646
"478",0.0067729519758358
"488",0.0247607538567562
"489",0.0017834207386266
"490",0.0238547375709528
"494",0.00658364121323402
"495",0.0264519939979181
"500",0.0156095858767547
"502",0.0356892867196662
"508",0.0211362101557658
"510",0.00365217527074983
"514",0.00335286501716101
"516",0.0218149299858764
"519",0.0214695862397415
"520",0.0277199171468687
"521",0.0323061939897493
"522",0.019047438844134
"527",0.0213893863906142
"529",0.0117379886501868
"530",0.00227384527045691
"534",0.00453968385439662
"537",0.0291736734352283
"538",0.0137163991794872
"542",0.0130452319204552
"543",0.0266842514560801
"544",0.0307903345879386
"545",0.011659917704457
"549",0.0182121499867986
"552",0.0183744436532903
"555",0.00988572254826614
"556",0.0296856773912999
"559",0.0139284999643492
"560",0.00373844199334193
"566",0.0186050453472764
"568",0.0104676207462771
"574",0.0144802706348173
"575",0.0253891505786373
"577",0.0421753040080374
"578",0.00610902748049168
"580",0.0214529931639063
"583",0.0125034512817905
"584",0.00811603109131365
"585",0.0130838234761297
"589",0.0401111782484204
"591",0.0167504849745247
"592",0.0209443965974113
"595",0.0173009987662283
"599",0.0353145439693486
"601",0.015206088229795
"602",0.00309996409198242
"604",0.0145425279115288
"607",0.00428578644580347
"609",0.014474027700703
"610",0.0255106948027394
"611",0.0117178746877913
"612",0.0104198576535523
"613",0.0640010606272621
"614",0.0123001617304348
"616",0.0282289710149266
"618",0.0262608739866075
"619",0.0238632427361003
"620",0.0322469488566818
"621",0.0449730291971737
"635",0.0327024289928539
"636",0.0192929872391228
"637",0.0169345898283405
"638",0.0176404906934898
"639",0.0223227583871498
"645",0.0365939745473499
"648",0.0258431964060733
"650",0.0166681808673701
"654",0.00368410986602327
"655",0.0285014378213715
"662",0.0187237551302862
"664",0.0533225525460141
"668",0.0218898902881434
"674",0.126840956454763
